Fish,date,VO2,Bac,VO2minBac,speed,cond,PecHz,CaudHz,Cauduse ,CV Pec,fsh,cnd,SDD
F10,10au,160.4933333,4.0856216,156.4077117,0.5,T,1.1409,0,0,0.227051896,10,0,0.0071875
F10,10au,154.1366667,4.0856216,150.0510451,1.5,T,1.4729,0,0,0.275515789,10,0,0.012024
F10,10au,255.74,4.0856216,251.6543784,4,T,2.7256,0.0317,0.372222222,0.232603276,10,0,0.0060716
F10,14au,155.64,5.0875548,150.5524452,0.5,L,1.0624,0,0,0.209811838,10,1,0.012161
F10,14au,173.8966667,5.0875548,168.8091119,1.5,L,1.3398,0,0,0.151113505,10,1,0.007344
F10,14au,350.8033333,5.0875548,345.7157785,4,L,2.4336,0,0,0.109072563,10,1,0.0094957
F11,14au,174.54,5.9797356,168.5602644,0.5,T,0.9384,0,0,0.182279738,11,0,0.0095177
F11,14au,191.9133333,5.9797356,185.9335977,1.5,T,1.2414,0,0,0.253324127,11,0,0.0085919
F11,14au,332.7033333,5.9797356,326.7235977,4,T,2.1963,0,0,0.145971309,11,0,0.0093951
F11,18au,190.9333333,5.009666,185.9236673,0.5,L,1.151,0,0,0.101807274,11,1,0.0056324
F11,18au,215.1833333,5.009666,210.1736673,1.5,L,1.6715,0,0,0.116355953,11,1,0.0038616
F11,18au,500.54,5.009666,495.530334,4,L,3.1637,0.4107,17.22777778,0.256487364,11,1,0.017288
F13,15au,168.2566667,4.206753857,164.0499128,0.5,T,1.428968585,0.023714946,2.133333333,0.41087788,13,0,0.034211
F13,15au,145.53,4.206753857,141.3232461,1.5,T,1.274811294,0,0,0.245900367,13,0,0.0097014
F13,15au,331.925,4.206753857,327.7182461,4.5,T,3.325560737,0.677615711,20.05,0.273750338,13,0,0.025912
F13,18au,176.6766667,6.5886844,170.0879823,0.5,L,1.548903585,0,0,0.138996348,13,1,0.01566
F13,18au,200.63,6.5886844,194.0413156,1.5,L,1.546248401,0,0,0.140563892,13,1,0.0070681
F13,18au,627.375,6.5886844,620.7863156,4.5,L,2.931541836,0.584992688,34.18333333,0.4182255,13,1,0.018769
F15,16au,169.1566667,3.292572,165.8640947,0.5,L,2.041383914,0,0,0.193365351,15,1,0.0052173
F15,16au,188.6966667,3.292572,185.4040947,1.5,L,2.252753365,0,0,0.174253896,15,1,0.0056048
F15,16au,364.39,3.292572,361.097428,4,L,2.88253263,0,0,0.123123443,15,1,0.0034041
F15,19au,140.5933333,1.805604,138.7877293,0.5,T,1.1172,0,0,0.160344674,15,0,0.010489
F15,19au,169.9566667,1.805604,168.1510627,1.5,T,1.244098861,0,0,0.180588522,15,0,0.010473
F15,19au,283.0833333,1.805604,281.2777293,4,T,2.514184003,0.020879733,1.072222222,0.194520958,15,0,0.011192
F19,17au,197.5233333,2.761512,194.7618213,0.5,L,1.287768982,0,0,0.334751335,19,1,0.014862
F19,17au,158.9866667,2.761512,156.2251547,1.5,L,2.052508622,0,0,0.177327696,19,1,0.0025661
F19,17au,371.9466667,2.761512,369.1851547,3.5,L,2.726565971,0.097299927,3.45,0.206305869,19,1,0.0048627
F19,20au,176.1466667,2.513684,173.6329827,0.5,T,1.082287308,0,0,0.332762199,19,0,0.0096313
F19,20au,191.3933333,2.513684,188.8796493,1.5,T,1.369329251,0,0,0.22671294,19,0,0.0064663
F19,20au,329.54,2.513684,327.026316,3.5,T,2.620620732,2.173913043,0.85,0.196328819,19,0,0.0089188
F5,12au,126.5833333,3.5297788,123.0535545,0.5,T,1.046129876,0.075337306,4.961111111,0.280801429,5,0,0.021712
F5,12au,216.86,3.5297788,213.3302212,1.5,T,1.046129876,0.075337306,18.37777778,0.380278897,5,0,0.033846
F5,12au,373.9766667,3.5297788,370.4468879,3.5,T,2.68001112,0.508532038,18.71111111,0.135301899,5,0,0.0081269
F5,7au,160.6966667,4.206753857,156.4899128,0.5,L,1.049825029,0,0,0.236705008,5,1,0.0052982
F5,7au,212.1166667,4.206753857,207.9099128,1.5,L,1.698301698,0.35161744,19.16666667,0.362501209,5,1,0.007095
F5,7au,637.43,4.206753857,633.2232461,3.5,L,3.036852314,0.964970995,41.60555556,0.447460334,5,1,0.021447
F6,20au,161.8833333,5.6433976,156.2399357,0.5,L,0.838691641,0,0,0.188667569,6,1,0.0053779
F6,20au,202.2233333,5.6433976,196.5799357,1.5,L,1.378390396,0,0,0.250374653,6,1,0.0035742
F6,20au,420.2166667,5.6433976,414.5732691,3.5,L,2.337530348,0,0,0.104480553,6,1,0.0054686
F6,8au,157.51,5.0025852,152.5074148,0.5,T,0.831241283,0,0,0.293269093,6,0,0.008559
F6,8au,176.3633333,5.0025852,171.3607481,1.5,T,0.449994375,0,0,0.734055152,6,0,0.007646
F6,8au,419.84,5.0025852,414.8374148,3.5,T,2.674450931,0,0,0.152225171,6,0,0.0078548
F9,12au,131.06,3.699718,127.360282,0.5,T,1.62294353,0,0,0.368695096,9,0,0.02136
F9,12au,132.41,3.699718,128.710282,1.5,T,1.160390516,0.026759433,0.638888889,0.226256987,9,0,0.014785
F9,12au,283.86,3.699718,280.160282,4,T,2.097707545,0.04620767,2.105555556,0.182467768,9,0,0.0070923
F9,15au,116.76,3.89444,112.86556,0.5,L,0.991930061,0.032123354,2.9,0.261741294,9,1,0.020248
F9,15au,139.64,3.89444,135.74556,1.5,L,1.19944212,0.013377926,1.333333333,0.216130243,9,1,0.013833
F9,15au,335.66,3.89444,331.76556,4,L,2.461298586,5,0.405555556,0.171308,9,1,0.01576